BP	bp_count	mf_count	complex_count	distinct_protein_count	distinct_chemical_count	distinct_cc_count	distinct_relation_count
Regulation_of_RUNX1_Expression_and_Activity	2	57	131	19	8	2	7
RNA_Polymerase_I_Transcription_Initiation	1	9	18	22	11	1	6
MPS_VII_-_Sly_syndrome	1	3	0	0	7	1	3
The_activation_of_arylsulfatases	2	2	1	3	7	2	7
EGFR_interacts_with_phospholipase_C-gamma	1	5	9	2	10	3	5
RUNX1_regulates_expression_of_components_of_tight_junctions	1	7	11	5	0	2	7
Nucleotide_salvage	1	0	0	0	0	0	0
IRF3-mediated_induction_of_type_I_IFN	4	8	10	5	7	4	6
Biosynthesis_of_DHA-derived_SPMs	1	16	0	7	28	2	6
Melanin_biosynthesis	1	11	0	3	18	2	6
GPCR_downstream_signalling	1	0	0	0	0	0	0
Inhibition_of_replication_initiation_of_damaged_DNA_by_RB1-E2F1	1	5	11	1	9	1	6
Toxicity_of_botulinum_toxin_type_G_(BoNT-G)	1	5	5	4	3	5	6
RIP-mediated_NFkB_activation_via_ZBP1	1	9	24	3	5	7	7
Antigen_Presentation:_Folding,_assembly_and_peptide_loading_of_class_I_MHC	1	18	40	8	12	7	6
Erythrocytes_take_up_oxygen_and_release_carbon_dioxide	1	7	3	4	10	3	6
Defective_SLC2A9_causes_hypouricemia_renal_2_(RHUC2)	1	1	0	0	0	1	3
Signaling_by_FGFR	1	0	0	0	0	0	0
RUNX2_regulates_genes_involved_in_cell_migration	1	9	16	4	5	4	8
Golgi_Associated_Vesicle_Biogenesis	1	10	27	21	8	9	6
Signaling_by_Ligand-Responsive_EGFR_Variants_in_Cancer	1	0	0	0	0	0	0
Anchoring_fibril_formation	1	4	4	1	0	1	6
Defective_B3GALTL_causes_Peters-plus_syndrome_(PpS)	1	1	1	0	2	1	3
DNA_Double-Strand_Break_Repair	1	0	0	0	0	0	0
Defective_SLC27A4_causes_ichthyosis_prematurity_syndrome_(IPS)	1	1	0	0	0	1	3
Alpha-defensins	3	11	20	5	2	6	6
Creatine_metabolism	1	6	3	2	19	5	6
HDL_remodeling	1	15	7	10	17	4	7
Interleukin-2_family_signaling	1	1	1	2	0	2	3
TP53_Regulates_Metabolic_Genes	11	62	67	28	47	13	8
Choline_catabolism	3	9	1	8	23	6	6
APC:Cdc20_mediated_degradation_of_cell_cycle_proteins_prior_to_satisfation_of_the_cell_cycle_checkpoint	1	0	0	0	0	0	0
Axonal_growth_stimulation	1	2	4	2	0	3	3
Regulation_of_TP53_Degradation	6	38	58	17	8	3	8
Defective_SLC9A9_causes_autism_16_(AUTS16)	1	1	0	0	4	2	2
Defective_ALG12_causes_ALG12-CDG_(CDG-1g)	1	1	0	0	3	1	3
Vpu_mediated_degradation_of_CD4	1	5	13	4	0	2	6
GDP-fucose_biosynthesis	1	7	0	6	19	3	6
Defective_SLC5A1_causes_congenital_glucose-galactose_malabsorption_(GGM)	1	1	0	0	4	1	3
O-glycosylation_of_TSR_domain-containing_proteins	1	2	4	2	4	2	5
Nonhomologous_End-Joining_(NHEJ)	1	14	45	19	8	1	6
NTF4_activates_NTRK2_(TRKB)_signaling	1	5	10	4	5	3	5
Telomere_C-strand_synthesis_initiation	4	3	11	0	6	1	6
SMAC-mediated_dissociation_of_IAP:caspase_complexes	3	28	15	26	0	3	6
Acrosome_Reaction	1	4	5	3	0	3	6
Triglyceride_metabolism	1	0	0	0	0	0	0
MyD88_cascade_initiated_on_plasma_membrane	1	17	39	7	5	3	6
FGFR4_mutant_receptor_activation	1	5	1	1	6	2	7
Defective_MUTYH_substrate_processing	1	1	1	0	0	1	3
Regulation_of_signaling_by_CBL	1	7	14	5	5	2	6
Transcriptional_regulation_of_pluripotent_stem_cells	1	32	37	14	8	2	8
Mitotic_Prophase	1	3	6	1	8	3	6
Insulin_processing	3	16	8	16	7	9	6
Regulation_of_gene_expression_by_Hypoxia-inducible_Factor	1	8	11	8	0	5	7
Defective_HEXA_causes_GM2G1	1	3	0	0	7	1	3
FGFR2_ligand_binding_and_activation	1	0	0	0	0	0	0
Sialic_acid_metabolism	6	16	4	10	29	7	6
Regulation_of_pyruvate_dehydrogenase_(PDH)_complex	2	6	8	2	17	4	7
Asparagine_N-linked_glycosylation	1	4	6	4	9	7	5
Erythropoietin_activates_STAT5	1	5	14	0	5	3	5
Defective_BTD_causes_biotidinase_deficiency	1	2	0	0	1	1	3
Mismatch_repair_(MMR)_directed_by_MSH2:MSH6_(MutSalpha)	1	14	26	7	12	1	6
MET_activates_PI3K-AKT_signaling	1	8	19	3	7	3	5
Inhibition_of_TSC_complex_formation_by_PKB	1	3	2	3	5	2	5
Intestinal_lipid_absorption	1	4	0	2	10	3	6
Branched-chain_amino_acid_catabolism	1	25	11	14	36	4	6
PKA-mediated_phosphorylation_of_CREB	2	12	12	3	9	3	6
Metal_ion_SLC_transporters	1	9	4	5	14	5	5
Interleukin-2_signaling	1	32	78	11	5	4	7
MyD88_dependent_cascade_initiated_on_endosome	1	14	33	5	5	2	5
c-src_mediated_regulation_of_Cx43_function_and_closure_of_gap_junctions	1	4	8	3	5	3	6
MPS_I_-_Hurler_syndrome	1	3	0	0	8	1	3
Glucocorticoid_biosynthesis	4	7	3	2	20	4	6
TAK1_activates_NFkB_by_phosphorylation_and_activation_of_IKKs_complex	1	14	41	3	5	7	6
Activation_of_the_TFAP2_(AP-2)_family_of_transcription_factors	2	21	35	15	0	2	6
Platelet_calcium_homeostasis	1	0	0	0	0	0	0
ERKs_are_inactivated	1	2	7	0	6	1	5
Synthesis_of_bile_acids_and_bile_salts_via_24-hydroxycholesterol	9	22	3	9	35	5	6
Switching_of_origins_to_a_post-replicative_state	1	1	2	3	0	1	4
VxPx_cargo-targeting_to_cilium	1	10	20	5	8	4	5
Vitamin_D_(calciferol)_metabolism	6	16	11	11	15	7	6
Nucleobase_biosynthesis	1	0	0	0	0	0	0
Thyroxine_biosynthesis	1	10	4	3	20	3	5
ChREBP_activates_metabolic_gene_expression	1	8	9	6	3	3	7
COPI-mediated_anterograde_transport	1	12	47	11	6	4	5
Defective_DPM3_causes_DPM3-CDG_(CDG-1o)	1	1	0	0	4	2	2
Recycling_of_bile_acids_and_salts	3	16	10	17	24	6	8
Cargo_recognition_for_clathrin-mediated_endocytosis	1	15	42	5	5	4	6
PD-1_signaling	1	5	15	1	7	2	6
Breakdown_of_the_nuclear_lamina	2	3	0	4	0	3	6
Cellular_responses_to_stress	1	0	0	0	0	0	0
Ion_homeostasis	2	25	37	16	16	11	8
Cytosolic_iron-sulfur_cluster_assembly	1	3	8	2	8	2	6
Synthesis_of_dolichyl-phosphate_mannose	2	4	2	2	10	4	6
Astrocytic_Glutamate-Glutamine_Uptake_And_Metabolism	1	4	2	2	11	4	6
RNA_Polymerase_II_Promoter_Escape	1	11	38	1	7	1	6
Neurotransmitter_clearance	1	3	3	0	9	3	5
Class_C-3_(Metabotropic_glutamate-pheromone_receptors)	1	9	15	2	6	4	4
Intestinal_saccharidase_deficiencies	1	5	0	0	10	1	3
Regulation_of_PTEN_stability_and_activity	3	15	37	7	9	2	7
GSD_XV	1	1	1	0	2	1	3
Antiviral_mechanism_by_IFN-stimulated_genes	1	0	0	0	0	0	0
PIWI-interacting_RNA_(piRNA)_biogenesis	3	15	32	6	6	3	6
Glutathione_synthesis_and_recycling	3	9	5	4	15	5	6
Presynaptic_function_of_Kainate_receptors	1	2	2	1	4	3	5
Zinc_transporters	1	0	0	0	0	0	0
Metabolism_of_cofactors	1	0	0	0	0	0	0
mRNA_Editing:_C_to_U_Conversion	2	3	11	1	6	1	6
SDK_interactions	1	2	0	2	0	1	4
G0_and_Early_G1	1	18	39	4	5	1	6
Phospholipase_C-mediated_cascade:_FGFR1	1	7	16	1	11	3	5
Defective_MMACHC_causes_methylmalonic_aciduria_and_homocystinuria_type_cblC	1	2	2	0	7	1	3
Voltage_gated_Potassium_channels	1	1	1	0	3	3	4
Transcriptional_activation_of_mitochondrial_biogenesis	2	37	50	30	9	4	8
Sperm:Oocyte_Membrane_Binding	1	2	2	2	0	2	5
Defective_CYP2U1_causes_Spastic_paraplegia_56,_autosomal_recessive_(SPG56)	1	1	0	0	8	1	3
CD22_mediated_BCR_regulation	1	4	6	3	5	2	6
MET_interacts_with_TNS_proteins	1	3	8	1	5	3	5
RUNX3_regulates_NOTCH_signaling	2	9	14	5	0	4	8
Loss_of_Nlp_from_mitotic_centrosomes	1	2	4	2	5	2	5
RUNX1_regulates_transcription_of_genes_involved_in_interleukin_signaling	1	7	12	5	0	3	7
Uncoating_of_the_HIV_Virion	3	4	11	2	0	4	6
Metabolism_of_fat-soluble_vitamins	1	0	0	0	0	0	0
The_role_of_Nef_in_HIV-1_replication_and_disease_pathogenesis	1	0	0	0	0	0	0
Interactions_of_Vpr_with_host_cellular_proteins	1	0	0	0	0	0	0
SHC1_events_in_EGFR_signaling	1	7	17	3	7	3	5
Phosphorylation_of_CD3_and_TCR_zeta_chains	1	10	24	4	9	2	7
NRAGE_signals_death_through_JNK	2	8	8	9	7	4	7
Glycerophospholipid_biosynthesis	1	2	2	1	6	4	5
Heme_biosynthesis	4	14	1	10	33	4	7
Depurination	1	0	0	0	0	0	0
Peptide_hormone_biosynthesis	1	1	0	2	0	1	5
Cooperation_of_Prefoldin_and_TriC-CCT_in_actin_and_tubulin_folding	1	0	0	0	0	0	0
Diseases_associated_with_O-glycosylation_of_proteins	1	0	0	0	0	0	0
Receptor_Mediated_Mitophagy	2	6	6	4	5	3	6
Chromatin_organization	1	0	0	0	0	0	0
Signaling_Pathways	1	0	0	0	0	0	0
Signaling_by_EGFR_in_Cancer	1	0	0	0	0	0	0
Programmed_Cell_Death	1	0	0	0	0	0	0
Activation_of_SMO	2	8	21	4	5	6	7
Activation_of_C3_and_C5	1	11	18	8	0	2	5
Phosphorylation_of_the_APC-C	1	3	8	1	6	1	6
Conversion_from_APC-C:Cdc20_to_APC-C:Cdh1_in_late_anaphase	1	8	19	3	8	2	6
Resolution_of_Abasic_Sites_(AP_sites)	1	11	3	9	0	1	6
Aromatic_amines_can_be_N-hydroxylated_or_N-dealkylated_by_CYP1A2	1	3	1	1	16	2	5
rRNA_processing_in_the_nucleus_and_cytosol	1	0	0	0	0	0	0
Mitotic_G2-G2-M_phases	1	0	0	0	0	0	0
Glycine_degradation	2	5	1	5	20	2	6
Defective_SLC9A6_causes_X-linked,_syndromic_mental_retardation,,_Christianson_type_(MRXSCH)	1	1	0	0	4	2	2
TRIF(TICAM1)-mediated_TLR4_signaling	1	0	0	0	0	0	0
Mitochondrial_iron-sulfur_cluster_biogenesis	1	5	13	2	7	3	7
Amplification_of_signal_from_the_kinetochores	1	0	0	0	0	0	0
Eukaryotic_Translation_Elongation	1	6	10	4	4	1	6
Defective_GALNT12_causes_colorectal_cancer_1_(CRCS1)	1	1	1	0	2	1	3
Recycling_of_eIF2:GDP	1	4	14	6	5	1	6
Ligand-dependent_caspase_activation	5	12	20	7	0	6	6
NTF3_activates_NTRK2_(TRKB)_signaling	1	4	8	3	5	3	5
MECP2_regulates_neuronal_receptors_and_channels	1	27	41	13	0	3	8
SRP-dependent_cotranslational_protein_targeting_to_membrane	1	6	17	1	2	3	6
Lipid_particle_organization	3	2	7	2	2	3	3
Defective_UGT1A1_causes_hyperbilirubinemia	1	2	0	0	6	1	3
FRS-mediated_FGFR1_signaling	1	15	41	3	7	3	6
Glutamate_binding,_activation_of_AMPA_receptors_and_synaptic_plasticity	1	0	0	0	0	0	0
Tat-mediated_HIV_elongation_arrest_and_recovery	1	5	11	0	0	1	6
Deubiquitination	1	0	0	0	0	0	0
G_alpha_(12-13)_signalling_events	1	25	63	8	9	3	5
Activated_NTRK2_signals_through_FRS2_and_FRS3	1	9	25	3	7	3	6
CASP8_activity_is_inhibited	4	7	16	3	0	3	6
Toll_Like_Receptor_3_(TLR3)_Cascade	2	7	12	6	0	3	5
Endosomal_Sorting_Complex_Required_For_Transport_(ESCRT)	1	4	17	3	6	3	5
cell_division	1	3	0	4	5	1	5
IRAK1_recruits_IKK_complex	1	6	21	0	5	3	6
Postsynaptic_nicotinic_acetylcholine_receptors	1	0	0	0	0	0	0
Gap_junction_assembly	3	9	5	3	0	5	6
Mitochondrial_ABC_transporters	1	2	1	1	10	4	4
Packaging_Of_Telomere_Ends	4	4	13	2	0	1	6
Nef_Mediated_CD8_Down-regulation	1	5	12	2	0	4	5
Ca2+_pathway	4	56	110	15	23	8	8
Regulation_of_TLR_by_endogenous_ligand	2	12	18	5	4	3	6
Nuclear_signaling_by_ERBB4	1	25	48	10	5	5	8
Golgi-to-ER_retrograde_transport	1	0	0	0	0	0	0
Early_Phase_of_HIV_Life_Cycle	4	7	17	4	5	2	6
Clathrin_derived_vesicle_budding	1	8	29	8	8	9	5
Signal_amplification	1	0	0	0	0	0	0
Dopamine_receptors	1	4	9	0	5	3	4
Defective_SLCO2A1_causes_primary,_autosomal_recessive_hypertrophic_osteoarthropathy_2_(PHOAR2)	1	1	0	0	0	1	3
IRAK4_deficiency_(TLR5)	1	2	2	1	0	3	2
Methionine_salvage_pathway	3	9	0	8	23	1	6
Infectious_disease	1	0	0	0	0	0	0
Activation_of_rRNA_Expression_by_ERCC6_(CSB)_and_EHMT2_(G9a)	1	6	12	8	6	1	6
Neurodegenerative_Diseases	1	0	0	0	0	0	0
Transport_of_Mature_mRNA_Derived_from_an_Intronless_Transcript	4	5	18	5	0	3	6
VLDLR_internalisation_and_degradation	1	4	7	3	0	6	4
Calcitonin-like_ligand_receptors	1	5	11	3	0	3	4
Defective_pro-SFTPC_causes_pulmonary_surfactant_metabolism_dysfunction_2_(SMDP2)_and_respiratory_distress_syndrome_(RDS)	2	0	1	1	0	2	4
RAF-MAP_kinase_cascade	2	50	126	13	12	4	7
Activation_of_BIM_and_translocation_to_mitochondria	3	3	5	5	5	3	6
Sema4D_mediated_inhibition_of_cell_attachment_and_migration	1	7	13	6	8	3	6
SHC-mediated_cascade:FGFR2	1	7	19	0	7	3	5
SHC-mediated_cascade:FGFR3	1	7	20	0	7	3	5
SHC-mediated_cascade:FGFR1	1	8	23	0	7	3	5
Defective_NEU1_causes_sialidosis	1	1	0	0	5	1	3
Beta_oxidation_of_myristoyl-CoA_to_lauroyl-CoA	2	8	9	1	21	3	6
YAP1-_and_WWTR1_(TAZ)-stimulated_gene_expression	3	13	25	11	0	3	7
Pervasive_developmental_disorders	1	0	0	0	0	0	0
Formation_of_HIV-1_elongation_complex_containing_HIV-1_Tat	1	10	31	7	5	1	6
EPHB-mediated_forward_signaling	5	24	40	14	11	3	6
Glycogen_breakdown_(glycogenolysis)	1	20	12	10	27	2	6
HDR_through_Homologous_Recombination_(HRR)_or_Single_Strand_Annealing_(SSA)	1	0	0	0	0	0	0
SHC-mediated_cascade:FGFR4	1	7	20	0	7	3	5
Molybdenum_cofactor_biosynthesis	1	6	4	5	20	2	6
Hh_mutants_abrogate_ligand_secretion	1	0	0	0	0	0	0
Methylation	1	21	11	14	46	5	6
Resolution_of_D-Loop_Structures	1	0	0	0	0	0	0
Caspase_activation_via_extrinsic_apoptotic_signalling_pathway	1	0	0	0	0	0	0
Defective_ST3GAL3_causes_MCT12_and_EIEE15	1	1	1	0	3	1	3
Activation_of_ATR_in_response_to_replication_stress	9	11	19	5	5	2	6
Signaling_by_Rho_GTPases	1	0	0	0	0	0	0
Defective_SRD5A3_causes_SRD5A3-CDG_(CDG-1q)_and_KHRZ	1	1	0	0	4	2	2
Defective_SLC7A7_causes_lysinuric_protein_intolerance_(LPI)	1	1	0	0	5	2	2
VEGFR2_mediated_vascular_permeability	18	43	74	18	18	6	6
MET_receptor_recycling	1	3	8	2	0	5	5
Activation_of_Nicotinic_Acetylcholine_Receptors	1	0	0	0	0	0	0
Trafficking_of_GluR2-containing_AMPA_receptors	1	3	19	2	6	3	5
Acyl_chain_remodeling_of_CL	5	11	1	6	20	4	6
Activated_NTRK2_signals_through_FYN	1	7	16	4	5	3	5
Na+-Cl-_dependent_neurotransmitter_transporters	2	17	8	16	17	8	5
Transport_to_the_Golgi_and_subsequent_modification	4	6	18	1	7	5	6
Adaptive_Immune_System	1	0	0	0	0	0	0
Defective_ABCG5_causes_sitosterolemia	1	1	0	0	6	1	3
Defective_SLC24A1_causes_congenital_stationary_night_blindness_1D_(CSNB1D)	1	1	0	0	5	2	2
Variant_SLC6A14_may_confer_susceptibility_towards_obesity	1	1	0	0	4	1	3
Mitochondrial_translation_termination	1	6	17	3	5	2	5
ECM_proteoglycans	1	23	30	14	4	2	4
Regulation_of_TP53_Activity_through_Association_with_Co-factors	3	20	24	11	5	3	7
Organic_anion_transport	1	3	2	1	6	3	4
ESR-mediated_signaling	2	16	33	6	7	2	6
Transport_of_small_molecules	1	0	0	0	0	0	0
Chondroitin_sulfate-dermatan_sulfate_metabolism	1	0	0	0	0	0	0
Defective_GGT1_causes_Glutathionuria_(GLUTH)	1	1	0	0	6	1	3
Interleukin-15_signaling	1	19	44	10	5	5	6
RNA_Polymerase_III_Transcription_Initiation	1	0	0	0	0	0	0
Post_NMDA_receptor_activation_events	1	0	0	0	0	0	0
GSD_0_(muscle)	1	1	1	0	2	1	3
MPS_VI_-_Maroteaux-Lamy_syndrome	1	2	0	0	6	1	3
Inhibition_of_the_proteolytic_activity_of_APC-C_required_for_the_onset_of_anaphase_by_mitotic_spindle_checkpoint_components	1	2	3	2	0	1	6
RAF_activation	1	12	32	1	10	3	6
Synthesis_of_IP2,_IP,_and_Ins_in_the_cytosol	2	22	13	8	24	4	6
Pyruvate_metabolism_and_Citric_Acid_(TCA)_cycle	1	0	0	0	0	0	0
Activated_NTRK2_signals_through_CDK5	1	7	19	2	7	3	5
Cobalamin_(Cbl,_vitamin_B12)_transport_and_metabolism	3	34	28	16	37	8	7
Sphingolipid_metabolism	1	0	0	0	0	0	0
Nucleosome_assembly	1	0	0	0	0	0	0
RHO_GTPase_Effectors	1	0	0	0	0	0	0
Defective_EXT2_causes_exostoses_2	1	4	4	0	4	1	3
RNA_Polymerase_III_Abortive_And_Retractive_Initiation	15	20	41	0	7	1	6
p53-Dependent_G1_DNA_Damage_Response	3	8	17	3	8	2	6
Neddylation	3	31	92	7	8	3	7
U12_Dependent_Splicing	1	6	20	23	0	1	6
Activation_of_BAD_and_translocation_to_mitochondria	6	8	16	5	8	3	6
Binding_of_TCF-LEF:CTNNB1_to_target_gene_promoters	1	6	11	3	0	2	6
Post-translational_protein_modification	1	0	0	0	0	0	0
Digestion_of_dietary_carbohydrate	1	15	2	8	20	3	6
Signaling_by_WNT_in_cancer	1	0	0	0	0	0	0
Calcineurin_activates_NFAT	1	4	7	1	2	5	6
PIPs_transport_between_early_and_late_endosome_membranes	4	2	2	0	9	4	6
Ras_activation_upon_Ca2+_influx_through_NMDA_receptor	1	3	7	2	5	3	5
RUNX1_regulates_transcription_of_genes_involved_in_differentiation_of_myeloid_cells	1	9	16	6	0	4	7
VEGF_binds_to_VEGFR_leading_to_receptor_dimerization	1	5	11	3	5	3	5
Toxicity_of_botulinum_toxin_type_A_(BoNT-A)	1	5	8	6	3	5	6
Neuronal_System	1	0	0	0	0	0	0
Late_Phase_of_HIV_Life_Cycle	2	1	0	2	5	1	5
Amino_acid_and_derivative_metabolism	1	0	0	0	0	0	0
Regulated_Necrosis	1	0	0	0	0	0	0
Interleukin-17_signaling	1	3	4	6	0	2	3
PERK_regulates_gene_expression	1	11	3	11	5	5	7
Neutrophil_degranulation	1	10	20	0	0	12	4
Signaling_by_FGFR4_in_disease	1	10	21	3	9	2	6
Inositol_transporters	1	3	0	3	5	3	4
SHC1_events_in_ERBB2_signaling	1	9	17	2	7	3	6
Defective_PAPSS2_causes_SEMD-PA	1	2	0	0	6	1	3
Role_of_ABL_in_ROBO-SLIT_signaling	1	5	13	2	5	2	6
Vitamins	5	7	1	5	21	8	5
Defective_GALK1_can_cause_Galactosemia_II_(GALCT2)	1	1	0	0	5	1	3
Defective_SLC5A7_causes_distal_hereditary_motor_neuronopathy_7A_(HMN7A)	1	1	0	0	5	1	3
RUNX3_regulates_RUNX1-mediated_transcription	1	3	4	2	0	2	7
Activation_of_NF-kappaB_in_B_cells	2	12	27	5	11	6	6
Phase_II_-_Conjugation_of_compounds	1	0	0	0	0	0	0
PTK6_Expression	1	4	6	4	0	4	7
PTEN_Loss_of_Function_in_Cancer	1	1	0	0	6	2	2
Formyl_peptide_receptors_bind_formyl_peptides_and_many_other_ligands	2	4	6	3	1	3	4
Oxidative_demethylation_of_DNA	6	5	3	1	11	1	7
Import_of_palmitoyl-CoA_into_the_mitochondrial_matrix	4	11	11	6	18	8	8
IP3_and_IP4_transport_between_cytosol_and_nucleus	5	12	4	4	17	5	6
HDR_through_Single_Strand_Annealing_(SSA)	1	9	19	9	5	1	6
Regulation_of_HSF1-mediated_heat_shock_response	1	15	24	7	11	3	7
Centrosome_maturation	1	0	0	0	0	0	0
RHO_GTPases_Activate_Rhotekin_and_Rhophilins	1	6	11	7	0	3	4
Biosynthesis_of_E-series_18(S)-resolvins	2	10	0	7	22	4	6
MAPK_targets-_Nuclear_events_mediated_by_MAP_kinases	1	0	0	0	0	0	0
RNA_Polymerase_I_Transcription	1	0	0	0	0	0	0
Removal_of_the_Flap_Intermediate_from_the_C-strand	6	5	12	2	7	1	6
Defective_SLC24A4_causes_hypomineralized_amelogenesis_imperfecta_(AI)	1	1	0	0	5	2	2
Classical_antibody-mediated_complement_activation	1	4	12	1	0	2	5
Defective_GALNT3_causes_familial_hyperphosphatemic_tumoral_calcinosis_(HFTC)	1	1	1	0	2	1	3
Defective_CD320_causes_methylmalonic_aciduria	1	1	0	2	0	2	2
Defective_CYP7B1_causes_Spastic_paraplegia_5A,_autosomal_recessive_(SPG5A)_and_Congenital_bile_acid_synthesis_defect_3_(CBAS3)	1	1	0	0	8	1	3
LGI-ADAM_interactions	1	5	8	6	0	2	3
Cell_Cycle	1	0	0	0	0	0	0
Vesicle-mediated_transport	1	0	0	0	0	0	0
RUNX2_regulates_bone_development	1	7	15	3	0	2	7
tRNA_Aminoacylation	1	0	0	0	0	0	0
Diseases_of_Mismatch_Repair_(MMR)	1	0	0	0	0	0	0
Transport_of_nucleotide_sugars	3	39	49	16	44	6	5
Signaling_by_plasma_membrane_FGFR1_fusions	1	2	5	0	5	2	6
Vif-mediated_degradation_of_APOBEC3G	1	4	13	1	0	1	6
SMAC_binds_to_IAPs	2	7	13	5	0	4	6
Packaging_of_Eight_RNA_Segments	2	2	11	9	0	2	4
Processing_of_Capped_Intron-Containing_Pre-mRNA	1	5	17	41	0	1	6
Sulfur_amino_acid_metabolism	2	16	9	12	37	3	6
Transport_of_vitamins,_nucleosides,_and_related_molecules	1	2	1	1	5	5	4
Autointegration_results_in_viral_DNA_circles	2	3	9	1	0	2	6
Downstream_TCR_signaling	7	43	94	14	15	5	7
Trafficking_of_AMPA_receptors	1	3	8	4	9	4	5
NGF-independant_TRKA_activation	1	4	10	3	6	2	6
PI_and_PC_transport_between_ER_and_Golgi_membranes	3	17	5	7	30	3	6
Neurophilin_interactions_with_VEGF_and_VEGFR	1	2	2	4	0	1	4
Interleukin-1_processing	1	10	14	4	0	4	6
GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit	1	7	22	8	3	1	7
Striated_Muscle_Contraction	1	4	9	0	7	1	6
Transcription_from_mitochondrial_promoters	1	0	0	0	0	0	0
FGFR2_alternative_splicing	1	4	12	5	0	1	6
Regulation_of_PLK1_Activity_at_G2-M_Transition	6	18	29	10	8	4	7
Transferrin_endocytosis_and_recycling	1	12	14	6	13	5	7
ROBO_receptors_bind_AKAP5	1	9	14	5	5	3	6
RPIA_deficiency:_failed_conversion_of_R5P_to_RU5P	1	1	0	0	3	1	3
Defective_SLC6A3_causes_Parkinsonism-dystonia_infantile_(PKDYS)	1	1	0	0	6	1	3
Extracellular_matrix_organization	1	1	0	1	0	1	4
SHC1_events_in_ERBB4_signaling	1	6	12	1	7	3	5
Synthesis_and_processing_of_ENV_and_VPU	6	5	0	3	0	5	6
Chylomicron_clearance	2	5	10	2	0	6	6
ERBB2_Activates_PTK6_Signaling	2	16	16	11	5	4	5
SIRT1_negatively_regulates_rRNA_expression	1	6	13	3	11	1	6
Synthesis_of_CL	1	6	0	5	20	2	6
Vasopressin_regulates_renal_water_homeostasis_via_Aquaporins	2	30	51	10	13	6	7
GSD_Ib	1	1	0	0	4	2	2
Regulation_of_TP53_Expression	1	30	14	12	8	1	8
Activation_of_PPARGC1A_(PGC-1alpha)_by_phosphorylation	1	7	13	3	6	2	6
Olfactory_Signaling_Pathway	1	2	6	3	0	2	4
Interferon_gamma_signaling	2	14	36	12	8	7	8
Defective_ABCB6_causes_isolated_colobomatous_microphthalmia_7_(MCOPCB7)	1	1	0	0	7	1	3
p75_NTR_receptor-mediated_signalling	1	0	0	0	0	0	0
FRS-mediated_FGFR3_signaling	1	15	42	3	7	3	6
RHO_GTPases_Activate_Formins	2	30	62	21	10	5	8
Vasopressin-like_receptors	1	6	12	4	0	4	5
NOTCH3_Intracellular_Domain_Regulates_Transcription	26	24	36	17	0	3	8
FGFR2c_ligand_binding_and_activation	1	6	11	3	7	3	5
E2F_mediated_regulation_of_DNA_replication	1	0	0	0	0	0	0
Post-chaperonin_tubulin_folding_pathway	1	10	22	5	4	1	6
Semaphorin_interactions	1	0	0	0	0	0	0
Toll_Like_Receptor_TLR6:TLR2_Cascade	1	3	6	3	0	3	5
Cdc20:Phospho-APC-C_mediated_degradation_of_Cyclin_A	4	5	17	1	0	1	6
Transport_of_Mature_Transcript_to_Cytoplasm	1	0	0	0	0	0	0
FCERI_mediated_NF-kB_activation	3	25	62	8	13	4	6
Glycolysis	6	35	22	14	42	6	6
SUMOylation	1	0	0	0	0	0	0
Regulation_of_gene_expression_in_endocrine-committed_(NEUROG3+)_progenitor_cells	1	5	0	5	0	1	6
Biosynthesis_of_aspirin-triggered_D-series_resolvins	2	10	0	4	19	3	6
Regulation_of_Apoptosis	1	1	0	2	5	2	4
TRAF3-dependent_IRF_activation_pathway	2	13	32	7	7	4	7
Regulation_of_TP53_Activity_through_Acetylation	2	10	19	8	10	3	6
Reduction_of_cytosolic_Ca++_levels	1	3	3	0	5	6	4
STING_mediated_induction_of_host_immune_responses	3	8	2	7	9	3	6
Regulation_of_insulin_secretion	5	31	51	14	19	11	7
TALDO1_deficiency:_failed_conversion_of_SH7P,_GA3P_to_Fru(6)P,_E4P	1	1	0	0	4	1	3
SUMO_is_conjugated_to_E1_(UBA2:SAE1)	1	9	24	4	7	1	7
PKA_activation_in_glucagon_signalling	2	12	19	4	10	4	6
Nuclear_Events_(kinase_and_transcription_factor_activation)	1	0	0	0	0	0	0
Neurotransmitter_release_cycle	1	1	0	1	6	1	5
Interleukin-1_family_signaling	1	0	0	0	0	0	0
Defective_GFPT1_causes_CMSTA1	1	1	0	0	5	1	3
Scavenging_by_Class_H_Receptors	1	4	6	2	0	4	5
PTK6_promotes_HIF1A_stabilization	1	5	11	4	5	3	5
Defective_SLC5A5_causes_thyroid_dyshormonogenesis_1_(TDH1)	1	1	0	0	4	1	3
Biosynthesis_of_DPA-derived_SPMs	1	0	0	0	0	0	0
Resolution_of_D-loop_Structures_through_Synthesis-Dependent_Strand_Annealing_(SDSA)	3	3	10	7	10	2	6
Transcription-Coupled_Nucleotide_Excision_Repair_(TC-NER)	1	2	10	3	0	1	6
Netrin_mediated_repulsion_signals	1	4	8	4	5	3	5
IRAK2_mediated_activation_of_TAK1_complex_upon_TLR7-8_or_9_stimulation	1	8	22	1	5	3	5
Activated_NTRK2_signals_through_PLCG1	1	6	16	1	5	3	5
Signalling_to_STAT3	1	1	1	1	5	3	4
Oxidative_Stress_Induced_Senescence	2	56	94	21	14	3	8
