Reactome node type	Reactome Label	Reactome Id	Curator asserted GO types	Rule-assigned types	Inferred GO types
Molecular Function	FBLN1, FBLN2 bind fibronectin	R-HSA-2537665 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Latent TGF-beta-3 binds integrins	R-HSA-2396029 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Latent TGF-beta-1 binds integrins	R-HSA-2395320 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Fibrillin-1 binds latent TGF-beta	R-HSA-2328033 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Fibrillins bind BMPs	R-HSA-2396399 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Complex	Elastic fibre	R-HSA-2161360 			
Complex	FBLN1, FBLN2:Fibronectin matrix	R-HSA-2537655 			
Complex	TGF betas:LAPs	R-HSA-2395330 			
Complex	LTBPs:Fibrillin-1	R-HSA-2396177 			
Complex	Fibrillins:BMP2,4,7,10,GF5	R-HSA-2396217 			
Complex	LTBP1, LTBP3	R-HSA-2395372 			
Complex	Elastic fibre:Fibulins	R-HSA-2395337 			
Complex	Fibulins	R-HSA-2395327 			
Complex	FBLN1, FBLN2	R-HSA-2537674 			
Complex	Elastic fibre:Fibulins:Emilins	R-HSA-2396077 			
Complex	BMP2,4,7,10,GF5	R-HSA-2396226 			
Complex	TGF-beta-3:LAP3:LAP3-binding integrins	R-HSA-2396121 			
Complex	LAP3-binding integrins	R-HSA-2396408 			
Complex	LTBPs	R-HSA-2396175 			
Complex	LTBP4:TGF-beta-1:LAP1	R-HSA-2395326 			
Complex	LTBP1, LTBP3:TGF betas:LAPs	R-HSA-2395250 			
Complex	TGF-beta-1:LAP1:LAP1-binding integrins	R-HSA-2396201 			
Complex	Elastic fibre with associated proteins	R-HSA-2161325 			
Complex	Elastic fibre-asociated proteins	R-HSA-2161378 			
Complex	LAP1 binding-integrins	R-HSA-2396176 			
Biological Process	Peroxisomal lipid metabolism	R-HSA-390918 	GO_0009062: fatty acid catabolic process,		GO_0072592: oxygen metabolic process,GO_0042743: hydrogen peroxide metabolic process,GO_1901615: organic hydroxy compound metabolic process,GO_0006767: water-soluble vitamin metabolic process,GO_0035337: fatty-acyl-CoA metabolic process,GO_0006575: cellular modified amino acid metabolic process,GO_0015936: coenzyme A metabolic process,
Molecular Function	propionyl-CoA + carnitine => propionylcarnitine + CoASH	R-HSA-390284 	GO_0004092: carnitine O-acetyltransferase activity,		
Molecular Function	acetyl-CoA + H2O => acetate + CoASH	R-HSA-390304 	GO_0003986: acetyl-CoA hydrolase activity,		
Molecular Function	acetyl-CoA + carnitine => acetylcarnitine + CoASH	R-HSA-390291 	GO_0004092: carnitine O-acetyltransferase activity,		
Molecular Function	4,8-dimethylnonanoyl-CoA + carnitine => 4,8-dimethylnonanoylcarnitine + CoASH	R-HSA-390281 	GO_0008458: carnitine O-octanoyltransferase activity,		
Molecular Function	HAO2 tetramer oxidises 2OH-PALM	R-HSA-6787811 	GO_0052853: long-chain-(S)-2-hydroxy-long-chain-acid oxidase activity,		
Molecular Function	NUDT19 hydrolyses acyl-CoA to 3',5'-ADP and acyl-PPANT	R-HSA-6810474 	GO_0047617: acyl-CoA hydrolase activity,		
Molecular Function	NUDT7 hydrolyses CoA-SH to 3',5'-ADP and PPANT	R-HSA-6809354 	GO_0016289: CoA hydrolase activity,		
Molecular Function	ACBD4,5 bind MCFA-CoA and LCFA-CoA	R-HSA-8848247 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Complex	ACBD5,(ACBD4)	R-HSA-8848234 			
Complex	ACBD4,5:LCFA-CoA, MCFA-CoA	R-HSA-8866017 			
Biological Process	The role of GTSE1 in G2/M progression after G2 checkpoint	R-HSA-8852276 	GO_1902749: regulation of cell cycle G2/M phase transition,		
Biological Process	reaction:GTSE1 promotes translocation of TP53 to the cytosol: is xrefed to this process	R-HSA-8852351 	GO_0046827: positive regulation of protein export from nucleus,		
Biological Process	reaction:GTSE1 binds MAPRE1 (EB1) at microtubule plus ends: is xrefed to this process	R-HSA-8852298 	GO_0030335: positive regulation of cell migration,		
Biological Process	reaction:GTSE1 binds CDKN1A: is xrefed to this process	R-HSA-8852362 	GO_0050821: protein stabilization,		
Biological Process	reaction:PLK1 phosphorylates GTSE1: is xrefed to this process	R-HSA-8852317 	GO_1900182: positive regulation of protein localization to nucleus,		
Biological Process	GTSE1 translocates to the nucleus	R-HSA-8852331 		GO_0045184: establishment of protein localization,	GO_1990173: protein localization to nucleoplasm,
Biological Process	reaction:GTSE1 facilitates proteasome-mediated degradation of TP53: is xrefed to this process	R-HSA-8852354 	GO_0043161: proteasome-mediated ubiquitin-dependent protein catabolic process,		
Biological Process	reaction:Mitotic phosphorylation-induced dissociation of GTSE1 from microtubule plus ends: is xrefed to this process	R-HSA-8852306 	GO_1904527: negative regulation of microtubule binding,		
Molecular Function	GTSE1 binds CDKN1A	R-HSA-8852362 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	MDM2 ubiquitinates TP53	R-HSA-6804879 	GO_0061630: ubiquitin protein ligase activity,		
Molecular Function	GTSE1 binds MAPRE1 (EB1) at microtubule plus ends	R-HSA-8852298 		GO_0005515: protein binding,	
Molecular Function	GTSE1 binds TP53	R-HSA-8852337 		GO_0005515: protein binding,	
Molecular Function	GTSE1 binds microtubule lattice in interphase cells	R-HSA-8852280 			
Molecular Function	GTSE1 promotes translocation of TP53 to the cytosol	R-HSA-8852351 		GO_0005515: protein binding,	
Molecular Function	GTSE1 binds PLK1	R-HSA-8852324 		GO_0005515: protein binding,	
Molecular Function	TP53 stimulates CDKN1A (p21) transcription	R-HSA-6803388 			
Molecular Function	GTSE1 facilitates proteasome-mediated degradation of TP53	R-HSA-8852354 	GO_0004175: endopeptidase activity,		
Molecular Function	Mitotic phosphorylation-induced dissociation of GTSE1 from microtubule plus ends	R-HSA-8852306 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	PLK1 phosphorylates GTSE1	R-HSA-8852317 	GO_0004674: protein serine/threonine kinase activity,		
Complex	p14-ARF:p-S166,S188-MDM2 dimer,p-S166,S188-MDM2:MDM4	R-HSA-6804995 			
Complex	HSP90:HSP90	R-HSA-3371429 			
Complex	GTSE1:p-T210-PLK1	R-HSA-8852323 			GO_1902554: serine/threonine protein kinase complex,
Complex	p-S166,S188-MDM2 dimer, p-S166,S188-MDM2,MDM4:TP53	R-HSA-6804885 			GO_0000151: ubiquitin ligase complex,
Complex	Microtubule	R-HSA-190599 			
Complex	p-S435-GTSE1:PolyUb-TP53 Tetramer	R-HSA-8852349 			
Complex	p-S435-GTSE1:PolyUb-TP53 Tetramer	R-HSA-8852344 			
Complex	Ub	R-HSA-68524 			
Complex	26S proteasome	R-HSA-68819 			GO_1905369: endopeptidase complex,
Complex	Ub	R-HSA-113595 			
Complex	p-S15,S20-TP53 Tetramer:ZNF385A:CDKN1A Gene	R-HSA-6803802 			
Complex	p-S166,S188-MDM2 dimer, p-S166,S188-MDM2:MDM4	R-HSA-6804745 			
Complex	GTSE1:CDKN1A:FKBPL:HSP90	R-HSA-8852380 			
Complex	GTSE1:EB1:microtubule plus end	R-HSA-8852295 			
Biological Process	Interleukin-3, Interleukin-5 and GM-CSF signaling	R-HSA-512988 	GO_0019221: cytokine-mediated signaling pathway,		
Molecular Function	Recruitment of SHC1 is mediated by Y593 of the common beta chain	R-HSA-879934 		GO_0005515: protein binding,	
Molecular Function	SHC1 bound to the common beta chain becomes tyrosine phosphorylated	R-HSA-879925 	GO_0004713: protein tyrosine kinase activity,		
Molecular Function	Tyrosine kinases phosphorylate the receptor	R-HSA-879907 	GO_0004713: protein tyrosine kinase activity,		GO_0030292: protein tyrosine kinase inhibitor activity,
Molecular Function	Phosphorylated SHC recruits GRB2:SOS1	R-HSA-453111 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	The common beta chain IL3RB binds JAK2	R-HSA-879937 		GO_0005515: protein binding,	
Molecular Function	GM-CSF receptor alpha subunit binds GM-CSF	R-HSA-913360 		GO_0005515: protein binding,	
Molecular Function	Phosphorylated SHC1 recruits SHIP	R-HSA-913374 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Interleukin-5 is a homodimer	R-HSA-913446 			
Molecular Function	GM-CSF receptor alpha:GM-CSF binds Bc	R-HSA-913371 		GO_0005515: protein binding,	
Molecular Function	p-STAT5 binds CISH, SOCS1 and SOCS2 gene	R-HSA-9012671 		GO_0005515: protein binding,	
Molecular Function	p-STAT5A, p-STAT5B dissociate from IL7:p-Y449-IL7R:JAK1:IL2RG:p-JAK3:p-STAT5A,p-STAT5B	R-HSA-6785165 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	JAK2 is phosphorylated, activated	R-HSA-879910 	GO_0004715: non-membrane spanning protein tyrosine kinase activity,		
Molecular Function	STAT5 is recruited by JAK2	R-HSA-879930 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	14-3-3 zeta binding allows recruitment of PI3K	R-HSA-914182 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Interleukin-3 receptor alpha: Interleukin-3 binds IL3RB:JAK2	R-HSA-450031 		GO_0005515: protein binding,	
Molecular Function	The receptor is activated	R-HSA-879942 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	STAT5 dimers translocate to the nucleus	R-HSA-507937 		GO_0005515: protein binding,	
Molecular Function	Activation of STAT5a/b by JAK2	R-HSA-879909 	GO_0004713: protein tyrosine kinase activity,		
Molecular Function	p-STAT5 dissociates from the receptor complex	R-HSA-921155 		GO_0005515: protein binding,	
Molecular Function	p-STAT5 dimerizes	R-HSA-452102 		GO_0005515: protein binding,	
Molecular Function	IL3 stimulation induces Vav binding to Tec kinase	R-HSA-879914 		GO_0005515: protein binding,	
Molecular Function	SHP1 and SHP2 bind the common beta chain	R-HSA-909738 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	p-STAT5 dissociates from EPO:phospho-EPOR:phospho-JAK2:LYN:IRS2	R-HSA-9012651 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	p-STAT5 dimers bind the BRWD1 gene promoter	R-HSA-8865626 		GO_0005515: protein binding,	
Molecular Function	IL3RB is phosphorylated on Ser-585	R-HSA-913451 	GO_0004691: cAMP-dependent protein kinase activity,		
Molecular Function	Phosphorylated STAT5 is released	R-HSA-919404 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Interleukin-5:Interleukin-5 receptor alpha binds IL3RB:JAK2	R-HSA-913370 		GO_0005515: protein binding,	
Molecular Function	Phosphorylated SHC1 recruits GRB2:GAB2	R-HSA-453104 			
Molecular Function	p-S585-IL3RB binds 14-3-3 proteins	R-HSA-912757 		GO_0005515: protein binding,	
Molecular Function	Interleukin-3 receptor alpha subunit binds Interleukin-3	R-HSA-450074 		GO_0005515: protein binding,	
Molecular Function	SHP1 and SHP2 dephosphorylate Y628 of IL3RB	R-HSA-914036 	GO_0004725: protein tyrosine phosphatase activity,		
Molecular Function	SHP2 can recruit GRB2	R-HSA-914022 		GO_0005515: protein binding,	
Molecular Function	Interleukin-5 receptor alpha subunit binds Interleukin-5	R-HSA-913456 		GO_0005515: protein binding,	
Complex	High affinity binding complex dimers of cytokine receptors using Bc, inactive JAK2, p(S589)-Bc:14-3-3 zeta:p85-containing Class 1A PI3Ks	R-HSA-914177 			
Complex	High affinity binding complex dimers of cytokine receptors using Bc, inactive JAK2	R-HSA-913399 			GO_1902911: protein kinase complex,
Complex	High affinity binding complex dimers of cytokine receptors using Bc, inactive JAK2, p(S589)-Bc:14-3-3 zeta	R-HSA-914180 			
Complex	CISH gene, SOCS1 gene, SOCS2 gene:p-STAT5 dimer	R-HSA-9012668 			
Complex	Interleukin receptor complexes with activated SHC1:GRB2:SOS1	R-HSA-921157 			
Complex	IL5 homodimer:IL5RA:Common beta chain:JAK2	R-HSA-913423 			
Complex	High affinity binding complex dimers of cytokine receptors using Bc, inactive JAK2,p(Y593,628)-Bc:SHP1, SHP2	R-HSA-914086 			GO_1904096: protein tyrosine phosphatase complex,
Complex	High affinity binding complex dimers of cytokine receptors using Bc, inactive JAK2, p(Y593,628)-Bc	R-HSA-913422 			
Complex	High affinity binding complex dimers of cytokine receptors using Bc, inactive JAK2,p(Y593)-Bc:SHP1, SHP2	R-HSA-914049 			
Complex	High affinity binding complex dimers of cytokine receptors using Bc, activated JAK2	R-HSA-913405 			
Complex	p-STAT5	R-HSA-507929 			
Complex	GRB2-1:SOS1	R-HSA-109797 			
Complex	High affinity binding complex dimers of cytokine receptors using Bc, activated JAK2:p-STAT5	R-HSA-913465 			
Complex	IL2:IL2R trimer p-(Y338,Y392, Y510) beta subunit:p-JAK1:JAK3:p-STAT5	R-HSA-507943 			
Complex	GRB2:GAB2	R-HSA-912522 			
Complex	Interleukin receptor complexes with activated SHC1:SHIP1,2	R-HSA-913393 			
Complex	GM-CSF:GM-CSF receptor alpha subunit	R-HSA-913362 			
Complex	Tyrosine kinases that phosphorylate the Common beta chain	R-HSA-904816 			GO_1902911: protein kinase complex,
Complex	High affinity binding complex dimers of cytokine receptors using Bc. activated JAK2:STAT5	R-HSA-913447 			GO_1902911: protein kinase complex,
Complex	IL7:p-Y449-IL7R:JAK1:IL2RG:p-JAK3	R-HSA-1295546 			
Complex	High affinity binding complex dimers of cytokine receptors using Bc, inactive JAK2, p-(Y593,628)-Bc:p(427,349,350)-SHC1	R-HSA-913439 			
Complex	High affinity binding complex dimers of cytokine receptors using Bc, inactive JAK2, p(S589)-Bc	R-HSA-914179 			
Complex	p-STAT5 dimer	R-HSA-508012 			
Complex	IL7:p-Y449-IL7R:JAK1:IL2RG:p-JAK3:p-STAT5A,p-STAT5B	R-HSA-8982988 			
Complex	EPO:p-8Y-EPOR:p-12Y-JAK2:LYN:IRS2:p-STAT5	R-HSA-9012641 			
Complex	GM-CSF:GM-CSF receptor alpha subunit:Common beta chain:JAK2	R-HSA-913389 			
Complex	IL3RB:JAK2	R-HSA-879945 			
Complex	SHP1,SHP2	R-HSA-389744 			
Complex	IL3:IL3RA	R-HSA-450048 			
Complex	High affinity binding complex dimers of cytokine receptors using Bc, inactive JAK2, p(Y593,628)-Bc:SHC1	R-HSA-913458 			
Complex	p-STAT5 dimer	R-HSA-507919 			
Complex	SHP2:GRB2	R-HSA-914028 			
Complex	IL2:IL2R trimer p-(Y338,392,510) beta subunit:p-JAK1:JAK3	R-HSA-452119 			
Complex	IL3:IL3RA:IL3RB:JAK2	R-HSA-450064 			
Complex	IL5 homodimer:IL5RA	R-HSA-450056 			
Complex	High affinity binding complexes of interleukin receptors using the Common beta chain	R-HSA-913364 			
Complex	EPO:p-8Y-EPOR:p-12Y-JAK2:LYN:IRS2	R-HSA-9006301 			
Complex	STAT5	R-HSA-452094 			
Complex	p85-containing Class 1A PI3Ks	R-HSA-508248 			
Complex	p-STAT5 dimer:BRWD1 gene	R-HSA-8865622 			
Complex	SHIP1,2	R-HSA-913467 			
Complex	TEC:VAV1	R-HSA-912729 			
Biological Process	reaction:RNase P cleaves the 5' end of pre-tRNA: is xrefed to this process	R-HSA-5696810 	GO_0001682: tRNA 5'-leader removal,		
Biological Process	reaction:ADAT2:ADAT3 (hetADAT) deaminates adenosine-34 in tRNAs: is xrefed to this process	R-HSA-6782311 	GO_0006400: tRNA modification,		
Biological Process	RNA Polymerase III Transcription Termination	R-HSA-73980 	GO_0006386: termination of RNA polymerase III transcription,		
Biological Process	reaction:RNA Polymerase III Productive Transcription: is xrefed to this process	R-HSA-113705 	GO_0006383: transcription by RNA polymerase III,		
Biological Process	reaction:RNA Polymerase III Termination and release of transcribed RNA: is xrefed to this process	R-HSA-113454 	GO_0006386: termination of RNA polymerase III transcription,		
Molecular Function	ADAT2:ADAT3 (hetADAT) deaminates adenosine-34 in tRNAs	R-HSA-6782311 	GO_0008251: tRNA-specific adenosine deaminase activity,		
Molecular Function	RNA Polymerase III Transcriptional Pause at Terminator Sequence	R-HSA-113449 		GO_0005515: protein binding,	
Molecular Function	RNA Polymerase III Productive Transcription	R-HSA-113705 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	RNase P cleaves the 5' end of pre-tRNA	R-HSA-5696810 	GO_0004526: ribonuclease P activity,		
Molecular Function	RNA Polymerase III Termination and release of transcribed RNA	R-HSA-113454 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Complex	RNA Polymerase III Holoenzyme	R-HSA-83716 			
Complex	Elongating RNA Polymerase III Transcription Complex	R-HSA-112479 			
Complex	RNase P	R-HSA-5696795 			GO_1902555: endoribonuclease complex,
Complex	ADAT2:ADAT3	R-HSA-6782302 			GO_1902494: catalytic complex,
Complex	Paused RNA Polymerase III Transcription Complex	R-HSA-113453 			
Biological Process	Metabolism of RNA	R-HSA-8953854 	GO_0016070: RNA metabolic process,		
Biological Process	Recycling pathway of L1	R-HSA-437239 			
Molecular Function	Phosphorylation of L1 by ERK	R-HSA-445079 	GO_0016301: kinase activity,		GO_0098772: molecular function regulator,
Molecular Function	Phosphorylation of L1 by p90rsk	R-HSA-374696 	GO_0004674: protein serine/threonine kinase activity,		GO_0098772: molecular function regulator,
Molecular Function	Transport of L1 into endosomes	R-HSA-392749 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Interaction of NUMB with L1	R-HSA-443783 		GO_0005515: protein binding,	GO_0098772: molecular function regulator,GO_0044877: protein-containing complex binding,
Molecular Function	Linkage of L1 with treadmilling F-actin	R-HSA-443779 		GO_0005515: protein binding,	
Molecular Function	Shootin-1 links L1 and retrograde actin flow	R-HSA-373736 		GO_0005515: protein binding,	GO_0098772: molecular function regulator,
Molecular Function	L1 trans-homophilic interaction	R-HSA-374680 		GO_0005515: protein binding,	
Molecular Function	L1 binds ERM family members	R-HSA-374677 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Reinsertion of L1 into the plasma membrane	R-HSA-445071 		GO_0005515: protein binding,	
Molecular Function	Phosphorylation of L1 by SRC	R-HSA-445084 	GO_0004713: protein tyrosine kinase activity,		GO_0098772: molecular function regulator,
Molecular Function	Transport of L1 from C-domain to P-domain	R-HSA-445077 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Formation of clathrin coated vesicle	R-HSA-555065 	GO_0003924: GTPase activity,		
Molecular Function	L1 binds to AP-2 Clathrin complex	R-HSA-392748 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Dephosphorylation of pL1 (Y1176)	R-HSA-445089 	GO_0004725: protein tyrosine phosphatase activity,		
Complex	L1:AP-2 Clathrin complex	R-HSA-392743 			
Complex	L1 trans-homodimer	R-HSA-191438 			
Complex	AP2 clathrin:L1:KIF4:microtubule	R-HSA-445022 			
Complex	ERM:PIP2	R-HSA-443660 			
Complex	pL1:Ezrin	R-HSA-374575 			
Complex	pL1:Shootin-1:F-actin	R-HSA-443668 			
Complex	L1:AP-2 Clathrin complex	R-HSA-392746 			
Complex	KIF4 dimer	R-HSA-445013 			
Complex	p90rsk	R-HSA-446849 			GO_1902554: serine/threonine protein kinase complex,
Complex	Microtubule	R-HSA-190599 			
Complex	pL1:ERM:F-actin	R-HSA-443655 			
Complex	pL1 (S1152):p90rsk:clathrin-dynamin complex	R-HSA-374597 			
Complex	pL1 (S1204, 1248):ERK2:clathrin-dynamin complex	R-HSA-445005 			
Complex	L1:clathrin-coated vesicle	R-HSA-555064 			
Complex	Dynamin-1/2/3	R-HSA-446847 			GO_1905360: GTPase complex,
Complex	Clathrin:AP-2 complex	R-HSA-177505 			
Complex	L1:NUMB:CRMP-2:alpha-adaptin	R-HSA-443657 			
Complex	CRMP-2:NUMB:alpha adaptin	R-HSA-443669 			
Biological Process	Regulation of cortical dendrite branching	R-HSA-8985801 			
Molecular Function	NCK2 binds to ROBO1,(ROBO2)	R-HSA-8985812 		GO_0005515: protein binding,	
Molecular Function	SLIT1 binds ROBO1,(ROBO2)	R-HSA-8985799 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	ROBO2 gene transcription is stimulated by HOXA2 and inhibited by LHX2	R-HSA-9010523 			
Molecular Function	ROBO1 binds FLRT3	R-HSA-9010231 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	DCC interaction with ROBO1	R-HSA-373715 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	ROBO1 gene expression is inhibited by LHX2	R-HSA-9011083 			
Complex	DCC:ROBO1:SLIT	R-HSA-373666 			
Complex	SLIT1:ROBO1	R-HSA-9010245 			
Complex	SLIT1:ROBO1,ROBO2	R-HSA-8985807 			
Complex	SLIT1:ROBO1:FLRT3	R-HSA-9010236 			
Complex	SLIT1:ROBO1,ROBO2:NCK2	R-HSA-8985808 			
Complex	ROBO1,ROBO2	R-HSA-428477 			
Complex	ROBO1:SLIT	R-HSA-204367 			
Biological Process	CDT1 association with the CDC6:ORC:origin complex	R-HSA-68827 			
Molecular Function	Free CDT1 associates with CDC6:ORC:origin complexes	R-HSA-68826 		GO_0005515: protein binding,	
Molecular Function	CDC6 association with ORC:origin complexes mediated by MCM8	R-HSA-68688 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Ubiquitinated geminin is degraded by the proteasome	R-HSA-68825 	GO_0004175: endopeptidase activity,		
Molecular Function	The geminin component of geminin:Cdt1 complexes is ubiquitinated, releasing Cdt1	R-HSA-68712 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Complex	geminin:ubiquitin complex	R-HSA-68585 			
Complex	CDT1:CDC6:ORC:origin complex	R-HSA-68544 			
Complex	CDC6:ORC:origin complex	R-HSA-68543 			
Complex	Ub	R-HSA-113595 			
Complex	ORC:origin of replication	R-HSA-68540 			
Complex	26S proteasome	R-HSA-68819 			GO_1905369: endopeptidase complex,
Complex	Cdt1:geminin	R-HSA-68537 			
Biological Process	MAF1 translocates to the nucleus	R-HSA-8944457 		GO_0045184: establishment of protein localization,	GO_1990173: protein localization to nucleoplasm,
Biological Process	Regulation of PTEN gene transcription	R-HSA-8943724 			
Molecular Function	miR-17 microRNA binds PTEN mRNA	R-HSA-8944483 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	PTEN gene transcription is stimulated by TP53, EGR1, PPARG, ATF2, MAF1, and inhibited by NR2E1, SALL4, MECOM, SNAI1, SNAI2, JUN	R-HSA-8944104 			
Molecular Function	TP53 binds the PTEN promoter	R-HSA-5632939 			GO_0098772: molecular function regulator,
Molecular Function	TP53 forms homotetramers	R-HSA-6804762 			
Molecular Function	miR-19a microRNA binds PTEN mRNA	R-HSA-8944522 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	miR-214 microRNA binds PTEN mRNA	R-HSA-8944650 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	miR-205 microRNA binds PTEN mRNA	R-HSA-8944684 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	MAF1 binds the PTEN gene promoter	R-HSA-8944420 			GO_0098772: molecular function regulator,
Molecular Function	miR-106 microRNAs bind PTEN mRNA	R-HSA-8944632 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	miR-93 microRNA binds PTEN mRNA	R-HSA-8944599 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	mTORC1 phosphorylates MAF1	R-HSA-8944454 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	p-T69,T71-ATF2 binds PTEN gene promoter	R-HSA-8944397 			GO_0098772: molecular function regulator,
Molecular Function	JUN binds the PTEN gene promoter	R-HSA-8944047 			GO_0098772: molecular function regulator,
Molecular Function	SNAI1,SNAI2 bind the PTEN gene promoter	R-HSA-8944026 		GO_0005515: protein binding,	GO_0098772: molecular function regulator,GO_0044877: protein-containing complex binding,
Molecular Function	Phosphorylated MAPKs phosphorylate ATF-2	R-HSA-168053 	GO_0004674: protein serine/threonine kinase activity,		
Molecular Function	MECOM (EVI1) recruits polycomb repressor complexes (PRCs) to the PTEN gene promoter	R-HSA-8943817 		GO_0005515: protein binding,	GO_0098772: molecular function regulator,GO_0044877: protein-containing complex binding,
Molecular Function	MECOM (EVI1) binds the PTEN gene promoter	R-HSA-8943811 			
Molecular Function	SALL4 recruits NuRD to PTEN gene	R-HSA-8943780 		GO_0005515: protein binding,	GO_0098772: molecular function regulator,GO_0044877: protein-containing complex binding,
Molecular Function	miR-25 microRNA binds PTEN mRNA	R-HSA-8944569 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	miR-22 microRNA binds PTEN mRNA	R-HSA-8944538 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	miR-21 nonendonucleolytic RISC binds PTEN mRNA	R-HSA-8944706 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	miR-20 microRNAs bind PTEN mRNA	R-HSA-8945709 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	miR-19b microRNA binds PTEN mRNA	R-HSA-8948569 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	SALL4 binds the PTEN gene promoter	R-HSA-8943728 			
Molecular Function	NR2E1 associated with transcription repressors binds PTEN promoter	R-HSA-6807077 		GO_0005515: protein binding,	GO_0098772: molecular function regulator,GO_0044877: protein-containing complex binding,
Molecular Function	Activated PPARG binds PTEN gene promoter	R-HSA-8944099 			GO_0098772: molecular function regulator,
Molecular Function	EGR1 binds the PTEN gene promoter	R-HSA-8944078 			GO_0098772: molecular function regulator,
Molecular Function	miR-26A microRNAs bind PTEN mRNA	R-HSA-2318752 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Complex	miR-25 RISC:PTEN mRNA	R-HSA-8944565 			
Complex	miR-19b RISC:CNOT6L mRNA	R-HSA-8948610 			
Complex	miR-19a RISC:VAPA mRNA	R-HSA-8948593 			
Complex	PTEN mRNA:miR-26A RISC	R-HSA-2318750 			
Complex	MECOM:(PRC1.4,PRC2 (EZH2) core):PTEN gene	R-HSA-8943821 			
Complex	miR-205 RISC	R-HSA-8944674 			
Complex	miR-21 Nonendonucleolytic RISC:PTEN mRNA	R-HSA-8944703 			
Complex	miR-20 RISC:VAPA mRNA	R-HSA-8948624 			
Complex	SALL4:NuRD:PTEN gene	R-HSA-8943781 			
Complex	NR2E1:(CoREST complex,ATN1,HDAC3,HDAC5,HDAC7)	R-HSA-6807075 			
Complex	SNAI1,SNAI2	R-HSA-8944073 			
Complex	miR-106 RISC:CNOT6L mRNA	R-HSA-8948650 			
Complex	miR-106 RISC	R-HSA-8944629 			
Complex	miR-20 RISC:PTENP1 mRNA	R-HSA-8948537 			
Complex	NR2E1:(CoREST complex,ATN1,HDAC3,HDAC5,HDAC7):PTEN Gene	R-HSA-6807085 			
Complex	miR-19a RISC:CNOT6L mRNA	R-HSA-8948605 			
Complex	miR-19b RISC:PTENP1 mRNA	R-HSA-8948521 			
Complex	miR-17 RISC:PTEN mRNA	R-HSA-8944487 			
Complex	miR-26A RISC	R-HSA-2318737 			
Complex	miR-93:PTEN mRNA	R-HSA-8944600 			
Complex	miR-19b RISC:PTEN mRNA	R-HSA-8948568 			
Complex	miR-22 RISC	R-HSA-8944549 			
Complex	miR-214 Nonendonucleolytic RISC:PTEN mRNA	R-HSA-8944647 			
Complex	miR-25 RISC	R-HSA-8944564 			
